Billing.RestoreFailed,Unable to restore purchases.,Покупката не беше възстановена успешно.,Ваша покупка не была восстановлена успешно,Impossible de restaurer les achats.,l'aquisto non è restituito con successo,Não foi possível restaurar as compras.,Käufe konnten nicht wiederhergestellt werden.,No es posible restaurar las compras.,Tidak dapat pulihkan pembelian.,구매를 복구할 수 없습니다.,購入が復元できません。,无法恢复购买。,Nemoguće obnoviti kupovinu.,Nemoguće obnoviti kupovinu.,Nemoguće obnoviti kupovinu.,Nemoguće obnoviti kupovinu.,Nemoguće obnoviti kupovinu.,Não foi possível restaurar as compras.,Покупката не беше възстановена успешно.
Facebook.Logout,Logout,Разлогване,Выход из системы,Connectez - Out,Esci,Desconectar,Ausloggen,Salir,Log keluar,로그아웃,ログアウト,退出,Izloguj se.,Izloguj se.,Izloguj se.,Izloguj se.,Izloguj se.,Desconectar,Разлогване
Facebook.Reconnect,Reconnect,Повторно Свързване,Повторная связь,Reconnectez,Recconect,Reconectar,Erneut verbinden,Reconectar,Sambung semula,다시 연결,再接続,重新连接,Ponovno povezivanje.,Ponovno povezivanje.,Ponovno povezivanje.,Ponovno povezivanje.,Ponovno povezivanje.,Reconectar,Повторно Свързване
Facebook.Connect,"Facebook

Connect","Facebook

Свързване","Facebook

Связь","Facebook

Relier","Facebook

Connessione","Facebook

Conectar","Facebook

verbinden","Facebook

Conectar","Facebook

Sambung ","페이스북

연결","Facebook

接続","面子书

连接",Povezivanje putem Facebooka,Povezivanje putem Facebooka,Povezivanje putem Facebooka,Povezivanje putem Facebooka,Povezivanje putem Facebooka,"Facebook

Conectar","Facebook

Свързване"
Facebook.Connecting,Connecting,Свързване,связь,Relier,Connessione,Conectando,Verbinde,Conectando,Menyambung,연결 중,接続中,连接中,Povezivanje ,Povezivanje ,Povezivanje ,Povezivanje ,Povezivanje ,Conectando,Свързване
Facebook.Share.Caption,Come play the new hit game,Ела да играеш новата хитова игра,Приходи и играй в новую классную игру,Venez jouer au nouveau jeu réussi,Vieni a giocare il nuovo super gioco,Venha jogar o novo jogo de sucesso,Probiere das neue Hit-Spiel aus,Ven a jugar al nuevo juego de moda,Datang main permainan sensasi baru,새로운 인기 게임을 즐겨보세요,一緒に最新ヒットゲームをプレイしよう,快来玩新的热门游戏,Igraj novu hit igru,Igraj novu hit igru,Igraj novu hit igru,Igraj novu hit igru,Igraj novu hit igru,Venha jogar o novo jogo de sucesso,Ела да играеш новата хитова игра
Facebook.Share.Description,Try out {0},Опитай {0},Попробуй {0},Essayer {0},Prova {0},Experimente {0},Ausprobieren {0},Prueba {0},Cuba {0},{0}을 시범 사용해 보세요,{0}に挑戦しよう,尝试 {0},Probaj {0},Probaj {0},Probaj {0},Probaj {0},Probaj {0},Experimente {0},Опитай {0}
Facebook.Invite.Caption,{0} is great! Check it out.,{0} е супер! Опитай!,{0} супер! Попробуй!,{0} est génial! Vérifiez-le.,"{0} è super, provala!",{0} é ótimo! Esperimente.,{0} ist großartig! Probiere es aus.,¡{0} es genial! Pruébalo.,{0} hebat! Semaknya.,{0} 은 훌륭해요! 확인해보세요.,{0}は最高だよ！チェックしてみて。,{0} 太棒了！快来看看。,{0} je super! Isprobaj.,{0} je super! Isprobaj.,{0} je super! Isprobaj.,{0} je super! Isprobaj.,{0} je super! Isprobaj.,{0} é ótimo! Esperimente.,{0} е супер! Опитай!
Facebook.Invite.Description,Join me and play {0}!,Присъедини се и играй {0}!,Присоединяйся и играй {0},Rejoignez-moi et jouez {0}!,evolvi il tuo cervello con {0},Junte-se a nós e jogue {0}!,Mach es wie ich und spiele {0}!,¡Únete y juega con {0}!,Sertai saya dan main {0}!,가입하고 {0}를 즐기세요!,一緒に{0}をプレイしよう！,和我一起来玩 {0}!,Pridruži se i igraj {0}!,Pridruži se i igraj {0}!,Pridruži se i igraj {0}!,Pridruži se i igraj {0}!,Pridruži se i igraj {0}!,Junte-se a nós e jogue {0}!,Присъедини се и играй {0}!
Facebook.Error.Login.Description,"We were unable to log into Facebook and will continue in offline mode.

Try connecting again later.","Свързването с Facebook не беше възможно и играта ще продължи в офлайн режим.

Опитайте да се свържете по-късно.","Связь с Facebook не была возможна и игра продолжить в оффлайн режиме! Пожайлуста, попробуйте связатся позже","Nous n'avons pas pu nous connecter à Facebook et continuer en mode hors connexion.

Essayez de vous connecter plus tard.","la connessione con Facebook non era possibile, il gioco continuerà in off line mood","Não conseguimos fazer login no Facebook e continuaremos no modo off-line.

Tente conectar-se novamente mais tarde.","Wir konnten uns nicht bei Facebook anmelden und werden im Offline-Modus fortfahren.

Versuche die Verbindung später noch einmal.","No hemos podido acceder a Facebook y continuaremos en modo offline.

Intenta conectar de nuevo más tarde.","Kami tidak dapat log masuk ke Facebook dan akan terus dalam mod luar talian.

Cuba sambung semula kemudian. ","페이스북에 로그인할 수 없으며 계속 오프라인 모드입니다.

나중에 다시 연결을 시도하십시오.","Facebookにログインすることができなかったため、オフラインモードで続行します。

後ほど再び接続を試みてください。","我们无法登录面子书，将会继续离线模式。

稍后再尝试连接",Ne možemo se ulogovati u Facebook i nastavljamo u offline modu. Pokušaj se povezati ponovo kasnije.,Ne možemo se ulogovati u Facebook i nastavljamo u offline modu. Pokušaj se povezati ponovo kasnije.,Ne možemo se ulogovati u Facebook i nastavljamo u offline modu. Pokušaj se povezati ponovo kasnije.,Ne možemo se ulogovati u Facebook i nastavljamo u offline modu. Pokušaj se povezati ponovo kasnije.,Ne možemo se ulogovati u Facebook i nastavljamo u offline modu. Pokušaj se povezati ponovo kasnije.,"Não conseguimos fazer login no Facebook e continuaremos no modo off-line.

Tente conectar-se novamente mais tarde.","Свързването с Facebook не беше възможно и играта ще продължи в офлайн режим.

Опитайте да се свържете по-късно."
FreePrize.Title,Daily bonus,Днешен бонус,Дневной бонус,Bonus quotidien,Bonus giornaliero,Bônus diário,Täglicher Bonus,Bono diario,Bonus harian,일일 보너스,今日のボーナス,每日奖励,Dnevni bonusi,Dnevni bonusi,Dnevni bonusi,Dnevni bonusi,Dnevni bonusi,Bônus diário,Днешен бонус
FreePrize.Double,Double!,Удвои!,Удвой!,Double!,Radoppia,Duplo!,Doppelt!,¡Doble!,Berganda!,더블!,２倍に！,双倍！,Duplo!,Duplo!,Duplo!,Duplo!,Duplo!,Duplo!,Удвои!
FreePrize.Today,Today,Днес,Сегодня,Aujourd'hui,Oggi,Hoje,Heute,Hoy,Hari ini,오늘,今日,今天,Danas,Danas,Danas,Danas,Danas,Hoje,Днес
FreePrize.ReceivedText,You have received,Ти получи,Тты получил,Vous avez reçu,Hai presso ,Você recebeu,Du hast erhalten,Has recibido,Anda telah menerima,받았습니다.,を受け取りました,你获得了,Dobili ste,Dobili ste,Dobili ste,Dobili ste,Dobili ste,Você recebeu,Ти получи
FreePrize.Day,Day {0},Ден {0},День {0},Jour {0},Giorno {0},Dia {0},Tag {0},Día {0},Hari {0},{0} 일,{0}日目,第 {0} 天,Dan {0},Dan {0},Dan {0},Dan {0},Dan {0},Dia {0},Ден {0}
FreeCoins.Title,Free coins,Безплатни жълтици,Бесплатные золотые монеты,Pièces gratuites,Moneti gratuti,Moedas grátis,Kostenlose Münzen,Monedas gratis,Syiling percuma,무료 코인,無料コイン,免费金币,Besplatni novčići,Besplatni novčići,Besplatni novčići,Besplatni novčići,Besplatni novčići,Moedas grátis,Безплатни жълтици
FreeCoins.Text,"Today you can earn coins completely free, by watching this short ad","Днес можеш да спечелиш жълтици напълно безплатно, като изгледаш тази кратка реклама","Сегодня ты можешь выиграть золотые монеты бесплатно, если посмотришь эту короткую рекламу","Aujourd'hui, vous pouvez gagner des pièces complètement gratuites en regardant cette petite annonce",Oggi puoi vincere moneti gratuiti guardando quel video.,"Hoje, você pode ganhar moedas completamente grátis, observando este breve anúncio","Heute kannst Du kostenlose Münzen verdienen, indem Du diese kurze Anzeige ansiehst",Hoy puedes ganar monedas completamente gratis viendo este breve anuncio,"Hari ini anda boleh dapatkan syiling secara percuma, dengan menonton iklan pendek ini",오늘 이 짧은 광고를 시청하면 완전히 무료로 코인을 획득할 수 있습니다,今日は、この短い広告を見ることで、完全無料でコインを手にいれることができます。,今天你可以观看这小一段广告，完全免费地赚取金币,Danas možete zaraditi novčiće besplatno ako pogledate ovu kratku reklamu.,Danas možete zaraditi novčiće besplatno ako pogledate ovu kratku reklamu.,Danas možete zaraditi novčiće besplatno ako pogledate ovu kratku reklamu.,Danas možete zaraditi novčiće besplatno ako pogledate ovu kratku reklamu.,Danas možete zaraditi novčiće besplatno ako pogledate ovu kratku reklamu.,"Hoje, você pode ganhar moedas completamente grátis, observando este breve anúncio","Днес можеш да спечелиш жълтици напълно безплатно, като изгледаш тази кратка реклама"
FreePrize.PushNotificationGuessWhat,"Guess what? There are some coins for you, and they are totally free! 🎁 You just have to collect them.","Познай какво? Има жълтици, които те очакват сега! 🎁
Трябва само да ги вземеш.","Угадай что! Есть золотые монеты которые ждут тебя! 🎁 
Их надо тольлко взять","Devinez quoi? Il y a des pièces de monnaie gratuites qui vous attendent maintenant! 🎁
Il suffit de les collecter.","Ci sono monetu gratuti che ti aspettano. 🎁
Devi solo prenderli!","Adivinha? Há algumas moedas para você, e elas são totalmente gratuitas! 🎁 Você só precisa coletá-los.","Rate mal? Es gibt Münzen für Dich, und sie sind völlig kostenlos! 🎁 Du musst sie nur einsammeln.","¿Sabes qué? Tenemos algunas monedas para ti, ¡y son totalmente gratis! 🎁 Solo tienes que cogerlas.","Tahu tak? Terdapat beberapa syiling untuk anda, dan ia benar-benar percuma! 🎁 Anda hanya perlu kumpulnya.","맞혀봐요? 당신을 위한 코인이 있어요, 그리고 완전 무료에요! 🎁 그냥 모으기만 하면 되요.",聞いて！完全無料でコインが手に入ります！🎁 回収するだけで自分の物になりますよ。,你猜怎么着？这些金币是给你的，而且完全免费！🎁 你只需要收集它们。,Pogodite šta! Imamo novčiće za vas i potpuno su besplatni. Morate ih samo pokupiti.,Pogodite šta! Imamo novčiće za vas i potpuno su besplatni. Morate ih samo pokupiti.,Pogodite šta! Imamo novčiće za vas i potpuno su besplatni. Morate ih samo pokupiti.,Pogodite šta! Imamo novčiće za vas i potpuno su besplatni. Morate ih samo pokupiti.,Pogodite šta! Imamo novčiće za vas i potpuno su besplatni. Morate ih samo pokupiti.,"Adivinha? Há algumas moedas para você, e elas são totalmente gratuitas! 🎁 Você só precisa coletá-los.","Познай какво? Има жълтици, които те очакват сега! 🎁
Трябва само да ги вземеш."
FreePrize.PushNotificationDailyBonus,"Hey, your daily bonus is here and waiting! Tap here to collect it 😉","Хей, бонусът ти за деня те очаква! Натисни тук, за да го вземеш! 😉","Хей, дневной бонус ожидает тебя! Нажми и возьми его","Hé, votre bonus quotidien est là et attend! Tapez ici pour le collecter 😉
","Ciao, il tuo bonus giornaliero è qua e ti sta spettando. Tocca qua per collezionarlo. ;)","Ei, seu bônus diário está aqui e esperando! Toque aqui para coletá-lo 😉
","Hey, Dein täglicher Bonus ist hier und wartet! Tippe hier, um ihn einzusammeln 😉","¡Eh!, ¡tu bono diario te está esperando! Toca aquí para obtenerlo 😉","Hei, bonus harian anda ada dan menunggu di sini! Ketik di sini untuk kumpulnya 😉",여기 일일 보너스가 있어요! 여기를 탭해서 모으세요 😉,ほら、今日のボーナスがここで待ってますよ！ここをタップして、回収しよう 😉,"嗨,你的每日奖金就在这里等着! 点击这里收集奖励。😉",Vaš dnevni bonus vas čeka! Kliknite ovdje da ga pokupite.,Vaš dnevni bonus vas čeka! Kliknite ovdje da ga pokupite.,Vaš dnevni bonus vas čeka! Kliknite ovdje da ga pokupite.,Vaš dnevni bonus vas čeka! Kliknite ovdje da ga pokupite.,Vaš dnevni bonus vas čeka! Kliknite ovdje da ga pokupite.,"Ei, seu bônus diário está aqui e esperando! Toque aqui para coletá-lo 😉
","Хей, бонусът ти за деня те очаква! Натисни тук, за да го вземеш! 😉"
FreePrize.PushNotificationGuessWhatNoEmoji,"Guess what? There are some coins for you, and they are totally free! You just have to collect them.","Познай какво? Има жълтици, които те очакват сега! 
Трябва само да ги вземеш.",Угадай что! Есть золотые монеты которые ждут тебя! Их надо тольлко взять,"Devinez quoi? Il y a des pièces de monnaie gratuites qui vous attendent maintenant!
Il suffit de les collecter. ",Ci sono monetu gratuti che ti aspettano. Devi solo prenderli!,"Adivinha? Há algumas moedas para você, e elas são totalmente gratuitas! Você só precisa coletá-los.","Rate mal? Es gibt Münzen für Dich, und sie sind völlig kostenlos! Du musst sie nur einsammeln.","¿Sabes qué? Tenemos algunas monedas para ti, ¡y son totalmente gratis! Solo tienes que cogerlas.","Tahu tak? Terdapat beberapa syiling untuk anda, dan ia benar-benar percuma! Anda hanya perlu kumpulnya.","맞혀봐요? 당신을 위한 코인이 있어요, 그리고 완전 무료에요! 그냥 모으기만 하면 되요.",聞いて！完全無料でコインが手に入ります！回収するだけで自分の物になりますよ。,"猜猜看? 有一些金币给您, 是全免的! 你只需收集。",Pogodite šta! Imamo novčiće za vas i potpuno su besplatni. Morate ih samo pokupiti.,Pogodite šta! Imamo novčiće za vas i potpuno su besplatni. Morate ih samo pokupiti.,Pogodite šta! Imamo novčiće za vas i potpuno su besplatni. Morate ih samo pokupiti.,Pogodite šta! Imamo novčiće za vas i potpuno su besplatni. Morate ih samo pokupiti.,Pogodite šta! Imamo novčiće za vas i potpuno su besplatni. Morate ih samo pokupiti.,"Adivinha? Há algumas moedas para você, e elas são totalmente gratuitas! Você só precisa coletá-los.","Познай какво? Има жълтици, които те очакват сега! 
Трябва само да ги вземеш."
FreePrize.PushNotificationDailyBonusNoEmoji,"Hey, your daily bonus is here and waiting! Tap here to collect it","Хей, бонусът ти за деня те очаква! Натисни тук, за да го вземеш!","Хей, дневной бонус ожидает тебя! Нажми и возьми его","Hé, votre bonus quotidien est là et attend! Tapez ici pour le collecter
","Ciao, il tuo bonus giornaliero è qua e ti sta spettando. Tocca qua per collezionarlo. ;)","Ei, o seu bônus diário está aqui e está na sua espera. Clique aqui para obtê-lo","Hey, Dein täglicher Bonus ist hier und wartet! Tippe hier, um ihn einzusammeln","¡Eh!, ¡tu bono diario te está esperando! Toca aquí para obtenerlo","Hei, bonus harian anda ada dan menunggu di sini! Ketik di sini untuk kumpulnya",여기 일일 보너스가 있어요! 여기를 탭해서 모으세요,ほら、今日のボーナスがここで待ってますよ！ここをタップして、回収しよう,"嘿, 你每日的奖金在等着! 按扭 然后收集",Vaš dnevni bonus vas čeka! Kliknite ovdje da ga pokupite.,Vaš dnevni bonus vas čeka! Kliknite ovdje da ga pokupite.,Vaš dnevni bonus vas čeka! Kliknite ovdje da ga pokupite.,Vaš dnevni bonus vas čeka! Kliknite ovdje da ga pokupite.,Vaš dnevni bonus vas čeka! Kliknite ovdje da ga pokupite.,"Ei, o seu bônus diário está aqui e está na sua espera. Clique aqui para obtê-lo","Хей, бонусът ти за деня те очаква! Натисни тук, за да го вземеш!"
FreePrize,Free Prize,Безплатна Награда,Бесплатный приз,"Prix ​​gratuit
",Premio Gratuito,Prêmio Gratuito,Kostenloser Preis,Premio gratis,Hadiah Percuma,무료 상금,無料の賞品,免费奖品,Besplatna nagrada,Besplatna nagrada,Besplatna nagrada,Besplatna nagrada,Besplatna nagrada,Prêmio Gratuito,Безплатна Награда
FreePrize.NewPrize,New prize in {0:D2}:{1:D2}:{2:D2},Нова награда след {0:D2}:{1:D2}:{2:D2},Новый приз через {0:D2}:{1:D2}:{2:D2},Nouveau prix dans {0:D2}:{1:D2}:{2:D2},Nuovo premio in {0:D2}:{1:D2}:{2:D2},Um novo prêmio depois de {0:D2}:{1:D2}:{2:D2},Neuer Preis in {0:D2}:{1:D2}:{2:D2},Premio nuevo en {0:D2}:{1:D2}:{2:D2},Hadiah baru dalam {0:D2}:{1:D2}:{2:D2},{0:D2}:{1:D2}:{2:D2}에 새 상금,新しい賞品まであと {0:D2}:{1:D2}:{2:D2},新奖品于{0:D2}:{1:D2}:{2:D2},Nova nagrada u {0:D2}:{1:D2}:{2:D2},Nova nagrada u {0:D2}:{1:D2}:{2:D2},Nova nagrada u {0:D2}:{1:D2}:{2:D2},Nova nagrada u {0:D2}:{1:D2}:{2:D2},Nova nagrada u {0:D2}:{1:D2}:{2:D2},Um novo prêmio depois de {0:D2}:{1:D2}:{2:D2},Нова награда след {0:D2}:{1:D2}:{2:D2}
FreePrize.Text1,Claim your daily bonus each day and receive bonus coins at 7th day,Събирай бонуса си всеки ден и спечели допълнителни жълтици на 7мия ден,Собери бонус каждый день и выиграй дополнительние золотые монеты через неделю,,Richiedere il tuo bonus giornaliero ogni giorno e ricevere monete bonus al 7 giorno,Coletаr o seu bónus diário todos os dias e obterá moedas de bônus no 7º dia,Hol Dir Deinen täglichen Bonus und erhalte am 7. Tag Bonusmünzen,Reclama tu bono diario todos los días y recibe un bono de monedas el 7º día,Tuntut bonus harian anda setiap hari dan terima syiling bonus pada hari ke-7,매일 일일 보너스를 청구하고 7일째 보너스 코인을 받으세요,「今日のボーナス」を毎日集めて、7日目にはボーナスコインを受け取ろう,"每天认领你的每日奖励,并在第7 天获取奖励金币。",Uzmi svoj dnevni bonus svaki dan i dobićeš bonus 7. dana,Uzmi svoj dnevni bonus svaki dan i dobićeš bonus 7. dana,Uzmi svoj dnevni bonus svaki dan i dobićeš bonus 7. dana,Uzmi svoj dnevni bonus svaki dan i dobićeš bonus 7. dana,Uzmi svoj dnevni bonus svaki dan i dobićeš bonus 7. dana,Coletаr o seu bónus diário todos os dias e obterá moedas de bônus no 7º dia,Събирай бонуса си всеки ден и спечели допълнителни жълтици на 7мия ден
FreePrize.Text2,New prize available soon.,Новата награда ще е налична скоро.,Новый приз будет доступен скоро,Nouveau prix disponible bientôt.,Presto nuovo premio disponibile.,O novo prêmio será disponível em breve.,Neuer Preis in Kürze verfügbar.,Un premio nuevo disponible muy pronto.,Hadiah baru boleh didapati tidak lama lagi.,새 상금이 곧 이용가능합니다.,新しい賞品はもうすぐ利用可能になります。,新奖品很快就到,Nova nagrada dostupna uskoro,Nova nagrada dostupna uskoro,Nova nagrada dostupna uskoro,Nova nagrada dostupna uskoro,Nova nagrada dostupna uskoro,O novo prêmio será disponível em breve.,Новата награда ще е налична скоро.
FreePrize.ClaimButton,Claim {0} coins,Спечели {0} жълтици,Выиграй {0} золотых монет,Réclamer {0} pièces de monnaie,Vinci {0} le monette!,Ganhar {0} moedas,Hol Dir {0} Münzen,Reclama {0} monedas,Tuntut {0} syiling,{0} 코인 청구,{0}枚のコインを受け取る,领取{0} 枚金币,Uzmi {0} novčića,Uzmi {0} novčića,Uzmi {0} novčića,Uzmi {0} novčića,Uzmi {0} novčića,Ganhar {0} moedas,Спечели {0} жълтици
FreePrize.WatchAd,Watch an Ad to recieve double daily bonus today!,"Гледай реклама, за да удвоиш бонуса си за деня!",Посмотри рекламу чтобы удвоить дневной бонус!,Regardez une annonce pour recevoir un bonus de bonus double aujourd'hui!,Gaurda la publicittà per ricevere il doppio bonus per oggi!,Veja um anúncio para duplicar hoje o seu bônus diário!,"Sieh Dir eine Anzeige an, um heute den doppelten Tagesbonus zu erhalten!",¡Ve un anuncio para recibir un bono diario doble hoy!,Tonton Iklan untuk terima bonus harian berganda hari ini!,오늘 더블 일일 보너스를 받으려면 광고를 시청하세요!,広告を見て、「今日のボーナス」を２倍にしよう！,今天观看广告以获取双倍每日奖励!,Pogledaj reklamu i dobićeš dupli dnevni bonus danas!,Pogledaj reklamu i dobićeš dupli dnevni bonus danas!,Pogledaj reklamu i dobićeš dupli dnevni bonus danas!,Pogledaj reklamu i dobićeš dupli dnevni bonus danas!,Pogledaj reklamu i dobićeš dupli dnevni bonus danas!,Veja um anúncio para duplicar hoje o seu bônus diário!,"Гледай реклама, за да удвоиш бонуса си за деня!"
